person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight
2024HU1294073_2,NY,New York,Northeast,01600,Male,32,Hispanic or Latino (any race),Dominican,Grade 10,CON-Construction Laborers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Same-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),236
2024HU1277640_2,MI,Michigan,Midwest,02701,Female,65,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,OFF-Billing And Posting Clerks,MED-Offices Of Dentists,Married,Opposite-sex husband/wife/spouse,Females with no own children,3,N/A (less than 15 years/greater than 50 years/ male),497
2024HU1356198_1,IL,Illinois,Midwest,11500,Female,49,Black or African American alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",OFF-Customer Service Representatives,"RET-Health And Personal Care, Except Pharmacies And Drug, Retailers",Never married or under 15 years old,Reference person,Females with no own children,1,No,323
2024HU0804480_1,MO,Missouri,Midwest,01105,Female,52,Black or African American alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",Never married or under 15 years old,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),254
2024HU1408228_2,CO,Colorado,West,00902,Female,19,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,EAT-Fast Food And Counter Workers,"ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Never married or under 15 years old,Biological son or daughter,Females with no own children,2,No,129
2024HU0891886_1,MI,Michigan,Midwest,03207,Male,65,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,PRD-Miscellaneous Plant And System Operators,TRN-Pipeline Transportation,Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),268
2024HU0013439_2,TX,Texas,South,02101,Male,51,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree","OFF-Dispatchers, Except Police, Fire, And Ambulance","ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Divorced,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),79
2024HU1104571_2,TX,Texas,South,02101,Male,26,Black or African American alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"PRD-Miscellaneous Production Workers, Including Equipment Operators And Tenders",RET-Supermarkets And Other Grocery (Except Convenience) Retailers,Separated,Other relative,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),779
2024HU0964539_1,NE,Nebraska,Midwest,00500,Female,27,White alone,Not Spanish/Hispanic/Latino,Master's degree,"CMS-Social Workers, All Other",EDU-Elementary And Secondary Schools,Married,Reference person,Females with own children under 6 years only,4,Yes,166
2024HU1290540_2,PA,Pennsylvania,Northeast,01300,Female,41,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",HLS-Massage Therapists,SRV-Nail Salons And Other Personal Care Services,Married,Opposite-sex husband/wife/spouse,Females with own children 6 to 17 years only,4,No,120
2024HU0287955_2,CO,Colorado,West,00200,Male,39,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,EAT-First-Line Supervisors Of Food Preparation And Serving Workers,ENT-Drinking Places (Alcoholic Beverages),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),4,N/A (less than 15 years/greater than 50 years/ male),1124
2024HU1211918_1,PA,Pennsylvania,Northeast,03012,Female,74,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,BUS-Human Resources Workers,MED-Offices Of Chiropractors,Divorced,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),105
2024HU0964559_1,MI,Michigan,Midwest,02600,Female,64,Two or more races,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),305
2024HU0649841_2,WI,Wisconsin,Midwest,02200,Male,58,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",RET-Automobile Dealers,Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),174
2024HU1303259_2,MI,Michigan,Midwest,02903,Female,94,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,Females with no own children,5,N/A (less than 15 years/greater than 50 years/ male),92
2024HU1092928_2,FL,Florida,South,10307,Male,78,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),70
